Water Control Zone,Station,Dates,num,Sample No,Depth,E. coli (cfu/100mL)
Victoria Harbour,VM1,2016/8/4,396,1,Middle Water,130
Victoria Harbour,VM1,2016/9/5,397,1,Middle Water,190
Victoria Harbour,VM1,2016/10/3,398,1,Middle Water,85
Victoria Harbour,VM1,2016/11/3,399,1,Middle Water,200
Victoria Harbour,VM1,2016/12/1,400,1,Middle Water,100
Victoria Harbour,VM1,2017/1/5,401,1,Middle Water,80
Victoria Harbour,VM1,2017/2/2,402,1,Middle Water,80
Victoria Harbour,VM1,2017/3/3,403,1,Middle Water,88
Victoria Harbour,VM1,2017/4/6,404,1,Middle Water,65
Victoria Harbour,VM1,2017/5/5,405,1,Middle Water,93
Victoria Harbour,VM1,2017/6/5,406,1,Middle Water,210
Victoria Harbour,VM1,2017/7/3,407,1,Middle Water,170
Victoria Harbour,VM1,2017/8/9,408,1,Middle Water,42
Victoria Harbour,VM1,2017/9/1,409,1,Middle Water,84
Victoria Harbour,VM1,2017/10/9,410,1,Middle Water,77
Victoria Harbour,VM1,2017/11/2,411,1,Middle Water,220
Victoria Harbour,VM1,2017/12/1,412,1,Middle Water,110
Victoria Harbour,VM1,2018/1/8,413,1,Middle Water,410
Victoria Harbour,VM1,2018/2/2,414,1,Middle Water,430
Victoria Harbour,VM1,2018/3/15,415,1,Middle Water,340
Victoria Harbour,VM1,2018/4/6,416,1,Middle Water,4
Victoria Harbour,VM1,2018/5/3,417,1,Middle Water,32
Victoria Harbour,VM1,2018/6/1,418,1,Middle Water,110
Victoria Harbour,VM1,2018/7/5,419,1,Middle Water,55
Victoria Harbour,VM1,2018/8/8,420,1,Middle Water,140
Victoria Harbour,VM1,2018/9/3,421,1,Middle Water,56
Victoria Harbour,VM1,2018/10/14,422,1,Middle Water,160
Victoria Harbour,VM1,2018/11/2,423,1,Middle Water,250
Victoria Harbour,VM1,2018/12/5,424,1,Middle Water,400
